"","SORTER","Submitted_Name","Submitted_Author","Submitted_Genus","Submitted_Rank","Name_in_database","Author_in_database","Genus_in_database","Rank_in_database","ID_in_database","Name_set","Fuzzy","Score","name.dist","author.dist","New_name","New_author","New_ID","Family","Name_spLev","Accepted_SPNAME","NOTE"
"1088",473,"Sambucus racemosa","","Sambucus",2,"Sambucus racemosa"," L.","Sambucus",2,405850,1,FALSE,0.8,0,NA,NA,NA,NA,"Adoxaceae",NA,"Sambucus racemosa",NA
"82",474,"Arbutus unedo","","Arbutus",2,"Arbutus unedo","L.","Arbutus",2,278231,1,FALSE,0.8,0,NA,NA,NA,NA,"Ericaceae",NA,"Arbutus unedo",NA
"81",475,"Arbutus menziesii","","Arbutus",2,"Arbutus menziesii","Pursh","Arbutus",2,278227,1,FALSE,0.8,0,NA,NA,NA,NA,"Ericaceae",NA,"Arbutus menziesii",NA
"83",476,"Arctostaphylos imbricata","","Arctostaphylos",2,"Arctostaphylos imbricata","Eastw.","Arctostaphylos",2,278284,1,FALSE,0.8,0,NA,NA,NA,NA,"Ericaceae",NA,"Arctostaphylos imbricata",NA
"84",477,"Arctostaphylos nummularia","","Arctostaphylos",2,"Arctostaphylos nummularia"," A.Gray","Arctostaphylos",2,278310,1,FALSE,0.8,0,NA,NA,NA,NA,"Ericaceae",NA,"Arctostaphylos nummularia",NA
"85",478,"Arctostaphylos pajaroensis","","Arctostaphylos",2,"Arctostaphylos pajaroensis","(J.E.Adams ex McMinn) J.E.Adams","Arctostaphylos",2,278318,1,FALSE,0.8,0,NA,NA,NA,NA,"Ericaceae",NA,"Arctostaphylos pajaroensis",NA
"1357",479,"Arctostaphylos tomentosa crustacea","","Arctostaphylos",2,"Arctostaphylos tomentosa ssp. crustacea","(Eastw.) P. V. Wells","Arctostaphylos",3,956609,1,FALSE,0.55,5,NA,"Arctostaphylos crustacea ssp. crustacea",NA,278253,"Ericaceae",NA,"Arctostaphylos crustacea",NA
"1368",480,"Comarostaphylis diversifolia planifolia","","Comarostaphylis",2,"Comarostaphylis diversifolia ssp. planifolia","(Jeps.) A. E. Murray","Comarostaphylis",3,956838,1,FALSE,0.55,5,NA,"Comarostaphylis diversifolia ssp. planifolia","(Jeps.) G.D.Wallace",278387,"Ericaceae",NA,"Comarostaphylis diversifolia","Multiple results"
"436",481,"Erica andevalensis","","Erica",2,"Erica andevalensis","Cabezudo & J. Rivera","Erica",2,958236,1,FALSE,0.8,0,NA,"Erica mackaiana ssp. andevalensis","(Cabezudo & Rivera) D.C.McClint. &  E.C.Nelson",279109,"Ericaceae",NA,"Erica mackaiana",NA
"439",482,"Erica arborea","","Erica",2,"Erica arborea","L.","Erica",2,278545,1,FALSE,0.8,0,NA,NA,NA,NA,"Ericaceae",NA,"Erica arborea",NA
